node_id,node_ef,node_conf,success_rate
228,0.03139262824868183,0.07498756723978471,0.9913793103448276
4282,0.3002248035932098,0.10334075188113828,0.9897959183673469
3406,0.3277478841185939,0.10122402028027676,1.0
1467,0.8202496804733528,0.08492762326758506,1.0
4921,0.6570338160959182,0.10529458718534598,0.978494623655914
4844,0.24275691132233845,0.09497842519727127,0.9910714285714286
4004,0.48107886713296466,0.11013310888022168,1.0
2704,0.8486179804231142,0.07722004483333247,0.9818181818181818
3458,0.618152561619354,0.10580335259753733,0.9882352941176471
4063,0.7685050824366044,0.0908749688606702,0.991869918699187
5329,0.19738309349239724,0.08967379855073748,0.979381443298969
58,0.03338942109258625,0.03071142351960162,0.9904761904761905
1393,0.9275362242478877,0.05105182934021433,0.9894736842105263
2244,0.6350913899732404,0.1060982043591592,1.0
2595,0.5022696956787058,0.11466047821178375,1.0
3982,0.23454388597269826,0.09324390021806211,1.0
1145,0.8354875898221508,0.07912033742403268,1.0
1091,0.6910165361769032,0.09702036523009804,1.0
2832,0.9277237417136348,0.0540409078908671,0.9907407407407407
4109,0.7236492248885042,0.0998711943207697,0.9893617021276596
3498,0.3839390317007201,0.1073162918006382,0.9925373134328358
2528,0.752525855933527,0.09698616079187797,0.9900990099009901
735,0.7678461321775103,0.09288254046750025,0.9736842105263158
4625,0.8125066884094849,0.08417927982417979,0.9905660377358491
2663,0.4701791313127046,0.10619197910221817,1.0
1604,0.7438417643425055,0.09525870103546459,0.9879518072289156
4583,0.1671986031279289,0.07960051469861104,1.0
4680,0.19594974647284857,0.08662599842679515,0.9902912621359223
2180,0.9867149875499308,0.026315973260987998,1.0
781,0.21787386931060837,0.08086574315768644,1.0
4373,0.8235706300456513,0.08250984999970634,1.0
303,0.36401729257613624,0.11026054894794012,1.0
5767,0.27065720482642064,0.031040542543379866,0.9897959183673469
35,0.6310067521417295,0.10309602968599806,0.991304347826087
355,0.008045319934343986,0.007671644053025132,0.9791666666666666
1118,0.9858428710140288,0.023009735534642785,0.9770114942528736
4534,0.3977229345782689,0.10616634364775938,1.0
568,0.771546147429035,0.08792437360445866,1.0
46,0.03216797730920007,0.024980525072353307,1.0
5294,0.7467812161630718,0.09689965357138546,1.0
