id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,2,1,1443619,0,1,1000,144
1,0,0,1,2,18556381,1000,1,1000,144
2,1,3,3,2,878820,49,9000,1000,30
3,1,2,2,3,104121180,0,0,1000,9
4,2,5,9,10,8868224,1000,1,1000,144
5,2,4,10,9,87485776,1000,1,1000,144
6,3,7,9,10,7269360,1000,1,1000,144
7,3,6,10,9,242730640,1000,1,1000,144
8,4,9,8,12,2620897,200,1,1000,40
9,4,8,12,8,61253103,1000,1,1000,144
10,5,11,14,15,69552,5000,50,0,144
11,5,10,15,14,1930448,1000,10,1000,14
12,6,13,2,17,9861803,0,1,1000,144
13,6,12,17,2,190138197,100,1,1000,144
14,7,15,16,18,81122,0,1,0,144
15,7,14,18,16,3251878,1000,10,1000,14
16,8,17,2,19,9243358,0,0,1000,18
17,8,16,19,2,98996642,1000,1,1000,144
18,9,19,20,21,3015569,1,100,1000,40
19,9,18,21,20,234912431,1000,1,900,144
20,10,21,16,24,168936658,0,1,1000,144
21,10,20,24,16,1662320342,800,1,1000,144
22,11,23,3,25,6790445,49,9000,0,30
23,11,22,25,3,93209555,1000,10,1000,14
24,12,25,27,28,1064312,1000,1,0,144
25,12,24,28,27,18935688,1000,10,1000,14
26,13,27,27,25,11711178,1000,1,0,144
27,13,26,25,27,288288822,1000,10,1000,14
28,14,29,30,22,3340888,1000,1,1000,144
29,14,28,22,30,186481112,0,1,1000,144
30,15,31,10,32,4921973,1000,1,0,144
31,15,30,32,10,45078027,1000,10,1000,14
32,16,33,3,32,2072022,49,9000,0,30
33,16,32,32,3,47927978,1000,10,1000,14
34,17,35,24,32,1697048,1000,10,0,144
35,17,34,32,24,48302952,1000,10,1000,14
36,18,37,24,35,4302071,800,1,1000,144
37,18,36,35,24,152622929,1000,1,1000,144
38,19,39,36,4,9034721,1000,1,1000,144
39,19,38,4,36,876870279,1000,1,1000,144
40,20,41,37,33,3622710,1000,10,1000,14
41,20,40,33,37,46377290,0,0,1,40
42,21,43,33,39,8110421,0,0,1,40
43,21,42,39,33,91889579,1000,10,1000,14
44,22,45,21,40,31356174,1000,1,1000,14
45,22,44,40,21,326526826,1000,1900,1000,144
46,23,47,8,45,1785427,200,1,1000,40
47,23,46,45,8,18214573,1000,1,1000,144
48,24,49,43,39,6077969,1,1,1000,4
49,24,48,39,43,173922031,1000,10,1000,14
50,25,51,46,6,8315133,1000,1,1000,144
51,25,50,6,46,438943867,49,10,1000,144
52,26,53,49,40,11598223,100,100,1000,144
53,26,52,40,49,188401777,1000,1900,1000,144
54,27,55,46,51,1008215,1000,1,1000,144
55,27,54,51,46,18991785,1000,1,1000,144
56,28,57,53,40,12618024,1000,1,1000,144
57,28,56,40,53,178163976,1000,1900,1000,144
58,29,59,54,55,8794387,1000,1,1000,144
59,29,58,55,54,80346613,1000,1,1000,144
60,30,61,54,57,3339482,1000,1,1000,144
61,30,60,57,54,196660518,1000,10,1000,14
62,31,63,59,60,9262033,1000,1,1000,144
63,31,62,60,59,123502967,100,10,1000,144
64,32,65,58,61,342356,1000,1,1000,144
65,32,64,61,58,33660644,1000,1000,1000,4
66,33,67,63,64,70114284,0,1,1000,144
67,33,66,64,63,929885716,1000,1,1000,144
68,34,69,54,67,279140,1000,1,1000,144
69,34,68,67,54,125911860,1000,1,1000,144
70,35,71,46,51,1964729,1000,1,1000,144
71,35,70,51,46,18035271,1000,1,1000,144
72,36,73,69,24,17136708,1000,1,1000,144
73,36,72,24,69,165382292,800,1,1000,144
74,37,75,63,70,28441018,0,1,1000,144
75,37,74,70,63,971558982,1000,1,1000,144
76,38,77,54,71,40977157,1000,1,1000,144
77,38,76,71,54,439022843,1000,1,1000,144
78,39,79,54,72,3669034,1000,1,1000,144
79,39,78,72,54,173046966,1000,10,1000,14
80,40,81,54,73,9267386,1000,1,1000,144
81,40,80,73,54,244169614,1000,1,1000,144
82,41,83,46,45,4273784,1000,1,1000,144
83,41,82,45,46,245726216,1000,1,1000,144
84,42,85,75,17,19843328,1000,1,1000,144
85,42,84,17,75,980156672,100,1,1000,144
86,43,87,76,5,40347545,1000,1,1000,144
87,43,86,5,76,959652455,1000,1,1000,144
88,44,89,79,63,3881612,1000,1,1000,144
89,44,88,63,79,296118388,0,1,1000,144
90,45,91,24,80,8978018,800,10,1000,144
91,45,90,80,24,191021982,1000,10,1000,14
92,46,93,33,81,8531693,0,0,1,40
93,46,92,81,33,91468307,1000,100,1000,144
94,47,95,82,54,835726,1000,1,1000,144
95,47,94,54,82,23253274,1000,1,1000,144
96,48,97,24,83,22454854,800,10,1000,144
97,48,96,83,24,477545146,1000,10,1000,14
98,49,99,84,54,13048213,1000,1,1000,144
99,49,98,54,84,162315787,1000,1,1000,144
100,50,101,54,85,53286550,1000,1,1000,144
101,50,100,85,54,799338450,1000,1,1000,144
102,51,103,46,49,24145064,1000,1,1000,144
103,51,102,49,46,875854936,100,100,1000,144
104,52,105,87,24,27769343,1,8,1,64
105,52,104,24,87,322230657,800,8,1000,144
106,53,107,8,88,3962203,200,1,1000,40
107,53,106,88,8,46037797,1000,10,1000,14
108,54,109,89,1,19392969,1000,10,1000,14
109,54,108,1,89,480607031,1000,1,1000,144
110,55,111,54,80,4410546,1000,1,1000,144
111,55,110,80,54,295589454,1000,10,1000,14
112,56,113,10,80,18265370,1000,1,1000,144
113,56,112,80,10,281734630,1000,10,1000,14
114,57,115,87,80,4765939,1,19,1,40
115,57,114,80,87,395234061,1000,10,1,14
116,58,117,27,80,36978741,1000,1,1000,144
117,58,116,80,27,363021259,1000,10,1000,14
118,59,119,54,91,25785039,1000,1,1000,144
119,59,118,91,54,240082961,1000,1,1000,144
120,60,121,87,49,20017280,1,8,1,64
121,60,120,49,87,641482720,100,100,1000,144
122,61,123,87,93,253244,1,8,1,64
123,61,122,93,87,101746756,1000,1,1000,144
124,62,125,98,99,30893292,1000,1,1000,20
125,62,124,99,98,467871708,1000,1,1000,144
126,63,127,95,40,185156963,1000,1,1000,144
127,63,126,40,95,3814843037,1000,1900,1000,144
128,64,129,106,98,24342669,10000,10,1000,40
129,64,128,98,106,474422331,1000,1,1000,20
130,65,131,54,46,3885080,1000,1,1000,144
131,65,130,46,54,263475920,1000,1,1000,144
132,66,133,87,110,179292405,1,8,1,64
133,66,132,110,87,1820707595,1000,1,1000,144
134,67,135,111,10,13653031,1000,1,1000,144
135,67,134,10,111,134311969,1000,1,1000,144
136,68,137,87,112,2142300,1,8,1,64
137,68,136,112,87,22857700,1000,1,1000,144
138,69,139,87,76,15211546,1,8,1,64
139,69,138,76,87,234788454,1000,1,1000,144
140,70,141,54,113,2718500,1000,1,1000,144
141,70,140,113,54,41780500,1000,1,1000,144
142,71,143,109,77,7266006,1000,1,1000,144
143,71,142,77,109,292733994,1000,1700,1000,30
144,72,145,118,119,6806788,1000,1,1000,144
145,72,144,119,118,116199212,490,1,1000,144
146,73,147,54,120,76498633,1000,1,1000,144
147,73,146,120,54,1123501367,1000,1,1000,144
148,74,149,122,87,981668,475,250,1000,144
149,74,148,87,122,299018332,1,8,1,64
150,75,151,87,125,2140044,1,19,1,40
151,75,150,125,87,197859956,1000,100,1,144
152,76,153,46,126,4498627,1000,1,1000,144
153,76,152,126,46,43501373,1000,1,1000,144
154,77,155,46,109,13042372,1000,1,1000,144
155,77,154,109,46,186957628,1000,1,1000,144
156,78,157,127,115,14257531,1000,1,1000,144
157,78,156,115,127,385742469,1000,1,1000,144
158,79,159,58,129,8611393,1000,1,1000,144
159,79,158,129,58,91388607,1000,100,1000,144
160,80,161,54,33,11635061,1000,1,1000,144
161,80,160,33,54,214952939,0,0,1000,40
162,81,163,129,130,2080187,1000,100,1000,144
163,81,162,130,129,97919813,1,1,1000,40
164,82,165,132,2,252244,1000,1000,1000,40
165,82,164,2,132,29747756,0,1000,1000,18
166,83,167,76,77,90553332,1000,1,1000,144
167,83,166,77,76,909446668,1000,1700,1000,30
168,84,169,46,33,277841961,1000,1,1000,144
169,84,168,33,46,4722158039,0,0,1000,40
170,85,171,54,131,49,1000,1,1000,144
171,85,170,131,54,23401951,1000,1,1000,144
172,86,173,134,46,1074362,1000,10,1000,14
173,86,172,46,134,18925638,1000,1,1000,144
174,87,175,87,135,16142741,1,19,1,40
175,87,174,135,87,183857259,1000,10,1,14
176,88,177,136,109,900622,1000,1,1000,144
177,88,176,109,136,19099378,1000,1,1000,144
178,89,179,87,137,3813200,1,8,1,64
179,89,178,137,87,41622800,1000,1,1000,144
180,90,181,10,108,12825345,1000,1,1000,144
181,90,180,108,10,187174655,1000,1,1000,144
182,91,183,4,108,8001463,1000,1,1000,144
183,91,182,108,4,191998537,1000,1,1000,144
184,92,185,24,108,12898673,800,1,1000,144
185,92,184,108,24,187101327,1000,1,1000,144
186,93,187,10,108,764996,1000,1,1000,144
187,93,186,108,10,199235004,1000,1,1000,144
188,94,189,138,33,749970,1000,1,1000,144
189,94,188,33,138,28432030,0,0,1000,40
190,95,191,141,49,16074199,1000,100,1000,144
191,95,190,49,141,283925801,100,100,1000,144
192,96,193,87,144,14888512,1,19,1,40
193,96,192,144,87,385111488,1000,10,1,14
194,97,195,54,144,877245,1000,1,1000,144
195,97,194,144,54,399122755,1000,10,1000,14
196,98,197,54,107,144738994,1000,1,1000,144
197,98,196,107,54,16629997006,1000,1,1000,144
198,99,199,147,2,25611237,1000,1,1000,144
199,99,198,2,147,374266763,0,1000,1000,9
200,100,201,148,63,771866,1000,1,1000,144
201,100,200,63,148,19228134,0,1,1000,144
202,101,203,148,63,2925416,1000,1,1000,144
203,101,202,63,148,27074584,0,1,1000,144
204,102,205,148,63,1157045,1000,1,1000,144
205,102,204,63,148,28842955,0,1,1000,144
206,103,207,54,149,1208969,1000,1,1000,144
207,103,206,149,54,18791031,1000,1,1000,144
208,104,209,87,149,17761759,1,8,1,64
209,104,208,149,87,182238241,1000,1,1000,144
210,105,211,149,130,1740510,1000,1,1000,144
211,105,210,130,149,18259490,1,1,1000,40
212,106,213,46,149,1565658,1000,1,1000,144
213,106,212,149,46,18434342,1000,1,1000,144
214,107,215,130,108,16162830,1,1,1000,40
215,107,214,108,130,183837170,1000,1,1000,144
216,108,217,87,108,9279526,1,8,1,64
217,108,216,108,87,190720474,1000,1,1000,144
218,109,219,40,108,11969535,1000,1900,1000,144
219,109,218,108,40,188030465,1000,1,1000,144
220,110,221,33,108,6071055,0,0,1000,40
221,110,220,108,33,193928945,1000,1,1000,144
222,111,223,22,153,15704331,0,1,1000,144
223,111,222,153,22,484295669,1,1,1000,34
224,112,225,123,130,1218154953,1000,1,1000,144
225,112,224,130,123,11019042047,1,1,1000,40
226,113,227,54,155,52642,1000,1,1000,144
227,113,226,155,54,19947358,1000,1,1000,144
228,114,229,24,108,5775924,800,1,1000,144
229,114,228,108,24,194224076,1000,1,1000,144
230,115,231,46,45,65122321,1000,1,1000,144
231,115,230,45,46,934877679,1000,1,1000,144
232,116,233,40,108,15885376,1000,1900,1000,144
233,116,232,108,40,184114624,1000,1,1000,144
234,117,235,158,130,11341653,1000,1,1000,144
235,117,234,130,158,288658347,1,1,1000,40
236,118,237,46,158,35184310,1000,1,1000,144
237,118,236,158,46,464815690,1000,1,1000,144
238,119,239,165,24,10621880,1000,1,1,144
239,119,238,24,165,335056120,800,1,1000,144
240,120,241,54,166,20844743,1000,1,1000,144
241,120,240,166,54,241941257,1000,10,1000,14
242,121,243,54,164,11130914,1000,1,1000,144
243,121,242,164,54,246517086,1000,1,1000,144
244,122,245,10,108,912189,1000,1,1000,144
245,122,244,108,10,199087811,1000,1,1000,144
246,123,247,46,165,8753232,1000,1,1000,144
247,123,246,165,46,91246768,1000,1,1000,144
248,124,249,168,8,620794,1000,20,1000,40
249,124,248,8,168,88456206,200,1,1000,40
250,125,251,150,40,301032473,99,1,1000,144
251,125,250,40,150,2998967527,1000,1900,1000,144
252,126,253,170,150,1830865,1000,1,1000,144
253,126,252,150,170,38169135,99,1,1000,144
