id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,2,1,1443619,0,1,1000,144
1,0,0,1,2,18556381,1000,1,1000,144
2,1,3,3,2,878820,49,9000,1000,30
3,1,2,2,3,104121180,0,0,1000,9
4,2,5,14,15,69552,5000,50,0,144
5,2,4,15,14,1930448,1000,10,1000,14
6,3,7,2,17,9861803,0,1,1000,144
7,3,6,17,2,190138197,100,1,1000,144
8,4,9,16,18,81122,0,1,0,144
9,4,8,18,16,3251878,1000,10,1000,14
10,5,11,2,19,9243358,0,0,1000,18
11,5,10,19,2,98996642,1000,1,1000,144
12,6,13,20,21,3015569,1,100,1000,40
13,6,12,21,20,234912431,1000,1,900,144
14,7,15,16,24,168936658,0,1,1000,144
15,7,14,24,16,1662320342,800,1,1000,144
16,8,17,3,25,6790445,49,9000,0,30
17,8,16,25,3,93209555,1000,10,1000,14
18,9,19,27,28,1064312,1000,1,0,144
19,9,18,28,27,18935688,1000,10,1000,14
20,10,21,27,25,11711178,1000,1,0,144
21,10,20,25,27,288288822,1000,10,1000,14
22,11,23,30,22,3340888,1000,1,1000,144
23,11,22,22,30,186481112,0,1,1000,144
24,12,25,10,32,4921973,1000,1,0,144
25,12,24,32,10,45078027,1000,10,1000,14
26,13,27,3,32,2072022,49,9000,0,30
27,13,26,32,3,47927978,1000,10,1000,14
28,14,29,24,32,1697048,1000,10,0,144
29,14,28,32,24,48302952,1000,10,1000,14
30,15,31,24,35,4302071,800,1,1000,144
31,15,30,35,24,152622929,1000,1,1000,144
32,16,33,37,33,3622710,1000,10,1000,14
33,16,32,33,37,46377290,0,0,1,40
34,17,35,33,39,8110421,0,0,1,40
35,17,34,39,33,91889579,1000,10,1000,14
36,18,37,21,40,31356174,1000,1,1000,14
37,18,36,40,21,326526826,1000,1900,1000,144
38,19,39,8,45,1785427,200,1,1000,40
39,19,38,45,8,18214573,1000,1,1000,144
40,20,41,46,6,8315133,1000,1,1000,144
41,20,40,6,46,438943867,49,10,1000,144
42,21,43,49,40,11598223,100,100,1000,144
43,21,42,40,49,188401777,1000,1900,1000,144
44,22,45,46,51,1008215,1000,1,1000,144
45,22,44,51,46,18991785,1000,1,1000,144
46,23,47,53,40,12618024,1000,1,1000,144
47,23,46,40,53,178163976,1000,1900,1000,144
48,24,49,54,55,8794387,1000,1,1000,144
49,24,48,55,54,80346613,1000,1,1000,144
50,25,51,54,57,3339482,1000,1,1000,144
51,25,50,57,54,196660518,1000,10,1000,14
52,26,53,59,60,9262033,1000,1,1000,144
53,26,52,60,59,123502967,100,10,1000,144
54,27,55,58,61,342356,1000,1,1000,144
55,27,54,61,58,33660644,1000,1000,1000,4
56,28,57,63,64,70114284,0,1,1000,144
57,28,56,64,63,929885716,1000,1,1000,144
58,29,59,54,67,279140,1000,1,1000,144
59,29,58,67,54,125911860,1000,1,1000,144
60,30,61,46,51,1964729,1000,1,1000,144
61,30,60,51,46,18035271,1000,1,1000,144
62,31,63,63,70,28441018,0,1,1000,144
63,31,62,70,63,971558982,1000,1,1000,144
64,32,65,54,71,40977157,1000,1,1000,144
65,32,64,71,54,439022843,1000,1,1000,144
66,33,67,54,72,3669034,1000,1,1000,144
67,33,66,72,54,173046966,1000,10,1000,14
68,34,69,54,73,9267386,1000,1,1000,144
69,34,68,73,54,244169614,1000,1,1000,144
70,35,71,46,45,4273784,1000,1,1000,144
71,35,70,45,46,245726216,1000,1,1000,144
72,36,73,75,17,19843328,1000,1,1000,144
73,36,72,17,75,980156672,100,1,1000,144
74,37,75,76,5,40347545,1000,1,1000,144
75,37,74,5,76,959652455,1000,1,1000,144
76,38,77,79,63,3881612,1000,1,1000,144
77,38,76,63,79,296118388,0,1,1000,144
78,39,79,24,83,22454854,800,10,1000,144
79,39,78,83,24,477545146,1000,10,1000,14
80,40,81,84,54,13048213,1000,1,1000,144
81,40,80,54,84,162315787,1000,1,1000,144
82,41,83,54,85,53286550,1000,1,1000,144
83,41,82,85,54,799338450,1000,1,1000,144
84,42,85,46,49,24145064,1000,1,1000,144
85,42,84,49,46,875854936,100,100,1000,144
86,43,87,87,24,27769343,1,8,1,64
87,43,86,24,87,322230657,800,8,1000,144
88,44,89,8,88,3962203,200,1,1000,40
89,44,88,88,8,46037797,1000,10,1000,14
90,45,91,54,80,4410546,1000,1,1000,144
91,45,90,80,54,295589454,1000,10,1000,14
92,46,93,10,80,18265370,1000,1,1000,144
93,46,92,80,10,281734630,1000,10,1000,14
94,47,95,87,80,4765939,1,19,1,40
95,47,94,80,87,395234061,1000,10,1,14
96,48,97,27,80,36978741,1000,1,1000,144
97,48,96,80,27,363021259,1000,10,1000,14
98,49,99,54,91,25785039,1000,1,1000,144
99,49,98,91,54,240082961,1000,1,1000,144
100,50,101,87,49,20017280,1,8,1,64
101,50,100,49,87,641482720,100,100,1000,144
102,51,103,87,93,253244,1,8,1,64
103,51,102,93,87,101746756,1000,1,1000,144
104,52,105,98,99,30893292,1000,1,1000,20
105,52,104,99,98,467871708,1000,1,1000,144
106,53,107,95,40,185156963,1000,1,1000,144
107,53,106,40,95,3814843037,1000,1900,1000,144
108,54,109,106,98,24342669,10000,10,1000,40
109,54,108,98,106,474422331,1000,1,1000,20
110,55,111,54,46,3885080,1000,1,1000,144
111,55,110,46,54,263475920,1000,1,1000,144
112,56,113,111,10,13653031,1000,1,1000,144
113,56,112,10,111,134311969,1000,1,1000,144
114,57,115,87,112,2142300,1,8,1,64
115,57,114,112,87,22857700,1000,1,1000,144
116,58,117,87,76,15211546,1,8,1,64
117,58,116,76,87,234788454,1000,1,1000,144
118,59,119,54,113,2718500,1000,1,1000,144
119,59,118,113,54,41780500,1000,1,1000,144
120,60,121,109,77,7266006,1000,1,1000,144
121,60,120,77,109,292733994,1000,1700,1000,30
122,61,123,118,119,6806788,1000,1,1000,144
123,61,122,119,118,116199212,490,1,1000,144
124,62,125,87,125,2140044,1,19,1,40
125,62,124,125,87,197859956,1000,100,1,144
126,63,127,46,126,4498627,1000,1,1000,144
127,63,126,126,46,43501373,1000,1,1000,144
128,64,129,46,109,13042372,1000,1,1000,144
129,64,128,109,46,186957628,1000,1,1000,144
130,65,131,127,115,14257531,1000,1,1000,144
131,65,130,115,127,385742469,1000,1,1000,144
132,66,133,58,129,8611393,1000,1,1000,144
133,66,132,129,58,91388607,1000,100,1000,144
134,67,135,54,33,11635061,1000,1,1000,144
135,67,134,33,54,214952939,0,0,1000,40
136,68,137,132,2,252244,1000,1000,1000,40
137,68,136,2,132,29747756,0,1000,1000,18
138,69,139,76,77,90553332,1000,1,1000,144
139,69,138,77,76,909446668,1000,1700,1000,30
140,70,141,54,131,49,1000,1,1000,144
141,70,140,131,54,23401951,1000,1,1000,144
142,71,143,134,46,1074362,1000,10,1000,14
143,71,142,46,134,18925638,1000,1,1000,144
144,72,145,87,135,16142741,1,19,1,40
145,72,144,135,87,183857259,1000,10,1,14
146,73,147,87,137,3813200,1,8,1,64
147,73,146,137,87,41622800,1000,1,1000,144
148,74,149,10,108,12825345,1000,1,1000,144
149,74,148,108,10,187174655,1000,1,1000,144
150,75,151,4,108,8001463,1000,1,1000,144
151,75,150,108,4,191998537,1000,1,1000,144
152,76,153,24,108,12898673,800,1,1000,144
153,76,152,108,24,187101327,1000,1,1000,144
154,77,155,10,108,764996,1000,1,1000,144
155,77,154,108,10,199235004,1000,1,1000,144
156,78,157,138,33,749970,1000,1,1000,144
157,78,156,33,138,28432030,0,0,1000,40
158,79,159,141,49,16074199,1000,100,1000,144
159,79,158,49,141,283925801,100,100,1000,144
160,80,161,54,107,144738994,1000,1,1000,144
161,80,160,107,54,16629997006,1000,1,1000,144
162,81,163,147,2,25611237,1000,1,1000,144
163,81,162,2,147,374266763,0,1000,1000,9
164,82,165,148,63,771866,1000,1,1000,144
165,82,164,63,148,19228134,0,1,1000,144
166,83,167,148,63,2925416,1000,1,1000,144
167,83,166,63,148,27074584,0,1,1000,144
168,84,169,148,63,1157045,1000,1,1000,144
169,84,168,63,148,28842955,0,1,1000,144
170,85,171,54,149,1208969,1000,1,1000,144
171,85,170,149,54,18791031,1000,1,1000,144
172,86,173,149,130,1740510,1000,1,1000,144
173,86,172,130,149,18259490,1,1,1000,40
174,87,175,46,149,1565658,1000,1,1000,144
175,87,174,149,46,18434342,1000,1,1000,144
176,88,177,87,108,9279526,1,8,1,64
177,88,176,108,87,190720474,1000,1,1000,144
178,89,179,40,108,11969535,1000,1900,1000,144
179,89,178,108,40,188030465,1000,1,1000,144
180,90,181,33,108,6071055,0,0,1000,40
181,90,180,108,33,193928945,1000,1,1000,144
182,91,183,123,130,1218154953,1000,1,1000,144
183,91,182,130,123,11019042047,1,1,1000,40
184,92,185,54,155,52642,1000,1,1000,144
185,92,184,155,54,19947358,1000,1,1000,144
186,93,187,24,108,5775924,800,1,1000,144
187,93,186,108,24,194224076,1000,1,1000,144
188,94,189,46,45,65122321,1000,1,1000,144
189,94,188,45,46,934877679,1000,1,1000,144
190,95,191,40,108,15885376,1000,1900,1000,144
191,95,190,108,40,184114624,1000,1,1000,144
192,96,193,158,130,11341653,1000,1,1000,144
193,96,192,130,158,288658347,1,1,1000,40
194,97,195,46,158,35184310,1000,1,1000,144
195,97,194,158,46,464815690,1000,1,1000,144
196,98,197,165,24,10621880,1000,1,1,144
197,98,196,24,165,335056120,800,1,1000,144
198,99,199,54,166,20844743,1000,1,1000,144
199,99,198,166,54,241941257,1000,10,1000,14
200,100,201,54,164,11130914,1000,1,1000,144
201,100,200,164,54,246517086,1000,1,1000,144
202,101,203,10,108,912189,1000,1,1000,144
203,101,202,108,10,199087811,1000,1,1000,144
204,102,205,46,165,8753232,1000,1,1000,144
205,102,204,165,46,91246768,1000,1,1000,144
206,103,207,168,8,620794,1000,20,1000,40
207,103,206,8,168,88456206,200,1,1000,40
208,104,209,150,40,301032473,99,1,1000,144
209,104,208,40,150,2998967527,1000,1900,1000,144
210,105,211,170,150,1830865,1000,1,1000,144
211,105,210,150,170,38169135,99,1,1000,144
212,106,213,54,172,20923698,1000,1,1000,144
213,106,212,172,54,212834302,1000,100,1000,144
214,107,215,46,173,425948091,1000,1,1000,144
215,107,214,173,46,16349197909,1000,1,1000,144
216,108,217,175,8,634403,1000,1,1000,144
217,108,216,8,175,123931597,200,1,1000,40
218,109,219,115,180,36915735,1000,1,1000,144
219,109,218,180,115,763084265,1000,1,1000,144
220,110,221,128,40,414987011,500,1,1000,14
221,110,220,40,128,4949012989,1000,1900,1000,144
222,111,223,150,183,29740060,99,1,1000,144
223,111,222,183,150,448233940,1000,1,1000,144
224,112,225,54,188,2414444,1000,1,1000,144
225,112,224,188,54,67585556,0,10,1000,34
226,113,227,58,189,9051889,1000,1,0,144
227,113,226,189,58,216472111,1000,10,1000,14
228,114,229,58,192,6128577,1000,1,1000,144
229,114,228,192,58,93871423,10000,1000,1000,144
230,115,231,165,4,14950350,1000,1,1,144
231,115,230,4,165,135049650,1000,1,1,144
232,116,233,194,40,248873483,1000,10,1000,34
233,116,232,40,194,4751126517,1000,1900,1000,144
234,117,235,95,195,76610360,1000,1,1000,144
235,117,234,195,95,698250640,1000,1,1000,144
236,118,237,156,77,89977154,1000,1,1000,144
237,118,236,77,156,1008295846,1000,1700,1000,30
238,119,239,54,196,12944952,1000,1,1000,144
239,119,238,196,54,250519048,1000,1,1000,144
240,120,241,46,145,13215031,1000,1,1000,144
241,120,240,145,46,236784969,1000,100,1000,144
242,121,243,54,145,23097150,1000,1,1000,144
243,121,242,145,54,226902850,1000,100,1000,144
244,122,245,46,145,13376496,1000,1,1000,144
245,122,244,145,46,236623504,1000,100,1000,144
246,123,247,194,1,47157308,1000,10,1000,34
247,123,246,1,194,952842692,1000,1,0,144
248,124,249,62,194,99726306,850,84,0,142
249,124,248,194,62,900273694,1000,10,0,34
250,125,251,199,22,1929883,100,1,1000,44
251,125,250,22,199,95070117,0,1,1000,144
252,126,253,58,202,2231435,1000,1,0,144
253,126,252,202,58,109055565,0,1,1000,34
