1,0.229769,0.060737,18.048618
2,0.220268,0.059674,17.492507
3,0.212078,0.059001,16.951049
4,0.202093,0.057702,16.404928
5,0.193821,0.056509,15.852148
6,0.184332,0.055380,15.302031
7,0.176139,0.054083,14.743257
8,0.164940,0.052451,14.189810
9,0.155113,0.051125,13.617050
10,0.147660,0.050063,13.064935
11,0.138797,0.048893,12.491508
12,0.130780,0.047072,11.923410
13,0.122558,0.045964,11.349983
14,0.115752,0.044765,10.763903
15,0.105087,0.042929,10.187146
16,0.096191,0.040817,9.609724
17,0.086627,0.038251,9.020979
18,0.075630,0.035915,8.424908
19,0.065589,0.034010,7.830170
20,0.058131,0.032605,7.242091
21,0.050447,0.031239,6.626041
22,0.045096,0.029194,6.013320
23,0.038080,0.026226,5.397269
24,0.032494,0.024386,4.787879
25,0.025490,0.022089,4.163170
26,0.014314,0.016616,2.895771
27,0.009403,0.014119,2.262404
28,0.005470,0.011358,1.615052
29,0.002199,0.007470,0.964369
