id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
45222,22611,45223,1115,2539,6736939,1000,1,1000,40,0,46
45223,22611,45222,2539,1115,193263061,1000,1,1000,40,0,9
45224,22612,45225,2656,1193,187862708,1000,1,1000,40,0,236
45225,22612,45224,1193,2656,3812137292,1000,1,1000,40,0,19
45226,22613,45227,4559,4589,664537,1000,1,1000,40,0,14
45227,22613,45226,4589,4559,211229463,1000,1,1,34,0,3
45228,22614,45229,2,2761,36636326,0,1000,1000,18,0,511
45229,22614,45228,2761,2,263363674,1000,1,1,40,0,871
45230,22615,45231,109,3843,5756218,1000,1,1000,40,0,6
45231,22615,45230,3843,109,94243782,1000,1,1000,40,0,0
45232,22616,45233,4579,3843,7951343,1000,1,1000,40,0,3
45233,22616,45232,3843,4579,92048657,1000,1,1000,40,0,7
45234,22617,45235,3996,340,165668556,1000,1,1000,40,0,0
45235,22617,45234,340,3996,9834331444,1,1,1000,144,0,0
45236,22618,45237,2761,4590,588122,1000,1,1,40,0,18
45237,22618,45236,4590,2761,24411878,1000,1,1000,40,0,26
45238,22619,45239,3843,4580,5350921,1000,1,1000,40,0,67
45239,22619,45238,4580,3843,69649079,0,1000,1000,144,0,76
45240,22620,45241,4559,400,9461875,1000,1,1000,40,0,20
45241,22620,45240,400,4559,790538125,1000,1,1000,40,0,32
45242,22621,45243,54,4560,23004158,1000,1,1000,40,0,35
45243,22621,45242,4560,54,223289842,1000,1,1000,40,0,51
45244,22622,45245,1777,4591,16530350,1000,100,1000,40,0,42
45245,22622,45244,4591,1777,333469650,989,1,1000,40,0,61
45246,22623,45247,2761,4591,31963765,1000,1,1,40,0,17
45247,22623,45246,4591,2761,318036235,989,1,1000,40,0,18
45248,22624,45249,4437,151,1415540,1000,1,1000,40,0,4
45249,22624,45248,151,4437,498584460,2,2,1,144,0,5
45250,22625,45251,2,1348,2794804,0,1000,1000,18,0,10
45251,22625,45250,1348,2,247205196,1000,1,1000,40,0,32
45252,22626,45253,46,2614,22415184,1000,1,1000,40,0,3
45253,22626,45252,2614,46,927584816,10,1,1000,40,0,17
45254,22627,45255,4437,151,4420130,1000,1,1000,40,0,0
45255,22627,45254,151,4437,495579870,2,0,1,144,0,0
45256,22628,45257,4592,4225,385063,1000,1,1000,40,0,102
45257,22628,45256,4225,4592,49614937,1000,1,1000,40,0,90
45258,22629,45259,4560,4145,533587,1000,1,1000,40,0,5
45259,22629,45258,4145,4560,49466413,0,0,1000,40,0,5
45260,22630,45261,46,2839,24354273,1000,1,1000,40,0,26
45261,22630,45260,2839,46,275645727,200,0,1000,40,0,44
45262,22631,45263,3115,2839,35900382,1000,1,1000,40,0,16
45263,22631,45262,2839,3115,464099618,200,0,1000,40,0,2
45264,22632,45265,77,2839,16132177,1000,1,1,40,0,30
45265,22632,45264,2839,77,182854823,200,0,1000,40,0,11
45266,22633,45267,106,77,179273922,10000,10,1000,40,0,21
45267,22633,45266,77,106,2620726078,1000,1,1,40,0,54
45268,22634,45269,177,3627,66533034,1000,100,1,144,0,7
45269,22634,45268,3627,177,4163493966,0,125,1000,40,0,6
45270,22635,45271,4560,77,3108183,1000,1,1000,40,0,24
45271,22635,45270,77,4560,16891817,1000,1,1,40,0,53
45272,22636,45273,4225,3291,1501965992,1000,1,1000,40,0,7
45273,22636,45272,3291,4225,15275249008,1000,100,1000,40,0,4
45274,22637,45275,54,4590,22605,1000,1,1000,40,0,73
45275,22637,45274,4590,54,233430395,1000,1,1000,40,0,81
45276,22638,45277,4079,86,66801458,1000,1,1000,40,0,0
45277,22638,45276,86,4079,933198542,20,137,1000,40,0,0
45278,22639,45279,4560,76,57505,1000,1,1000,40,0,19
45279,22639,45278,76,4560,19942495,1000,1,1000,40,0,15
45280,22640,45281,4593,434,544451372,1000,1,1000,40,0,5
45281,22640,45280,434,4593,7164383628,1000,1,1000,40,0,24
45282,22641,45283,1200,4565,2028841,1000,1,1000,40,0,15
45283,22641,45282,4565,1200,17971159,1000,1,1000,40,0,25
45284,22642,45285,77,2936,26876194,1000,1,1,40,0,21
45285,22642,45284,2936,77,24973123806,1000,1000,1000,40,0,6
45286,22643,45287,869,4583,96615,1000,1,1000,40,0,2
45287,22643,45286,4583,869,149903385,500,1,1000,40,0,2
45288,22644,45289,2936,17,1436059459,1000,1000,1000,40,0,5
45289,22644,45288,17,2936,28563940541,1000,1,1000,40,0,4
45290,22645,45291,46,4368,23618408,1000,1,1000,40,0,21
45291,22645,45290,4368,46,976381592,1000,888,1000,40,0,28
45292,22646,45293,977,2450,840971469,849,489,1000,40,0,0
45293,22646,45292,2450,977,9159028531,1000,1,1000,40,0,15
45294,22647,45295,342,4593,978827620,1,1,1000,144,0,36
45295,22647,45294,4593,342,15785790380,1000,1,1000,40,0,48
45296,22648,45297,1841,4593,1345710897,1000,1,1000,40,0,10
45297,22648,45296,4593,1841,15422798103,1000,1,1000,40,0,17
45298,22649,45299,4560,360,862361,1000,1,1000,40,0,16
45299,22649,45298,360,4560,99137639,1000,1,1000,40,0,24
45300,22650,45301,4593,340,744367110,1000,1,1000,40,0,29
45301,22650,45300,340,4593,7939473890,1,1,1000,144,0,11
45302,22651,45303,463,4593,761721971,1000,1,1000,40,0,24
45303,22651,45302,4593,463,7922119029,1000,1,1000,40,0,31
45304,22652,45305,3660,4560,1788289,1000,1,1,40,0,5
45305,22652,45304,4560,3660,18211711,1000,1,1000,40,0,10
45306,22653,45307,177,3164,4210167167,1000,100,1,144,0,0
45307,22653,45306,3164,177,95789832833,5000,1000,1000,200,0,0
45308,22654,45309,4414,2450,582143540,2000,1562,1000,40,0,0
45309,22654,45308,2450,4414,9417856460,1000,1,1000,40,0,0
45310,22655,45311,4583,177,6812951,500,1,1000,40,0,16
45311,22655,45310,177,4583,193187049,1000,100,1,144,0,5
45312,22656,45313,1205,2450,841466683,0,0,1000,25,0,21
45313,22656,45312,2450,1205,9158533317,1000,1,1000,40,0,7
45314,22657,45315,4143,177,111414628,1000,100,1000,144,0,71
45315,22657,45314,177,4143,16665800372,1000,100,1,144,0,25
45316,22658,45317,3083,4436,4754592,1000,1,1000,40,0,1
45317,22658,45316,4436,3083,995245408,1000,10000,1000,40,0,8
45318,22659,45319,4436,3759,11279913,500,10000,1000,40,0,26
45319,22659,45318,3759,4436,988720087,1000,1,1000,40,0,8
45320,22660,45321,288,77,155731877,1000,1,1000,40,0,8
45321,22660,45320,77,288,1650972123,1000,1,1,40,0,31
45322,22661,45323,1088,4530,7778398,1000,1,1000,40,0,4
45323,22661,45322,4530,1088,102221602,1000,1,1000,40,0,17
45324,22662,45325,2450,282,342820032,1000,1,1000,40,0,17
45325,22662,45324,282,2450,9657179968,10,20,1000,40,0,11
45326,22663,45327,77,4565,37939,1000,1,1,40,0,21
45327,22663,45326,4565,77,19962061,1000,1,1000,40,0,21
45328,22664,45329,1351,2450,403796458,1000,1,1000,40,0,7
45329,22664,45328,2450,1351,9596203542,1000,1,1000,40,0,7
45330,22665,45331,54,2850,27835404,1000,1,1000,40,0,18
45331,22665,45330,2850,54,2082784596,2,10,1000,40,0,23
45332,22666,45333,54,3297,42423929,1000,1,1000,40,0,0
45333,22666,45332,3297,54,457576071,1000,1,1000,40,0,0
45334,22667,45335,4583,130,63367,500,1,1000,40,0,206
45335,22667,45334,130,4583,199936633,1,2,1000,40,0,15
45336,22668,45337,3297,227,10845164,1000,1,1000,40,0,0
45337,22668,45336,227,3297,489154836,0,0,1000,29,0,0
45338,22669,45339,3297,820,37677478,1000,1,1000,40,0,0
45339,22669,45338,820,3297,462322522,1000,1,1000,40,0,0
45340,22670,45341,864,2087,110517548,800,1,1000,40,0,14
45341,22670,45340,2087,864,1889482452,1000,1,1000,40,0,12
45342,22671,45343,4209,3291,172201958,1,91,1000,40,0,3
45343,22671,45342,3291,4209,1827798042,1000,50,1000,40,0,2
45344,22672,45345,177,4594,770452,1000,100,1,144,0,11
45345,22672,45344,4594,177,149229548,1000,1,1000,40,0,19
45346,22673,45347,3482,2450,178829514,1000,1,1000,40,0,19
45347,22673,45346,2450,3482,4821170486,1000,1,1000,40,0,1
45348,22674,45349,282,1232,954299,10,20,1000,40,0,0
45349,22674,45348,1232,282,30045701,1000,1,1000,40,0,0
45350,22675,45351,2450,194,537394744,1000,1,1000,40,0,6
45351,22675,45350,194,2450,9462605256,1000,10,1,34,0,10
45352,22676,45353,4595,3123,95855,1000,1,1000,40,0,99
45353,22676,45352,3123,4595,99904145,1000,1,1000,40,0,7
45354,22677,45355,4437,86,41725877,1000,1,1000,40,0,3
45355,22677,45354,86,4437,1958274123,20,598,1000,40,0,0
45356,22678,45357,54,4583,11018975,1000,1,1000,40,0,81
45357,22678,45356,4583,54,217347025,500,1,1000,40,0,107
45358,22679,45359,342,4583,49051874,1,1,1000,144,0,24
45359,22679,45358,4583,342,300948126,500,1,1000,40,0,232
45360,22680,45361,349,2450,858847398,1,1,1000,144,0,5
45361,22680,45360,2450,349,15141152602,1000,1,1000,40,0,12
45362,22681,45363,4593,340,1299590272,1000,1,1000,40,0,0
45363,22681,45362,340,4593,15477624728,1,1,1000,144,0,0
45364,22682,45365,3833,2087,10089268,1000,1,1000,40,0,90
45365,22682,45364,2087,3833,4989910732,1000,1,1000,40,0,70
45366,22683,45367,4414,2450,931953216,2000,246,1000,40,0,0
45367,22683,45366,2450,4414,9068046784,1000,1,1000,40,0,0
45368,22684,45369,3482,475,115716892,1000,35,1000,40,0,3
45369,22684,45368,475,3482,4884283108,1,1,1000,40,0,0
45370,22685,45371,4579,4414,21872845,1000,1,1000,40,0,0
45371,22685,45370,4414,4579,2478127155,2000,262,1000,40,0,2
45372,22686,45373,3449,4388,454458609,1000,10,1000,40,0,0
45373,22686,45372,4388,3449,4545541391,2000,600,1000,40,0,1
45374,22687,45375,4388,3626,81928741,2000,1523,1000,40,0,0
45375,22687,45374,3626,4388,2418071259,1000,0,1000,40,0,0
45376,22688,45377,4388,1734,21272994,2000,271,1000,40,0,7
45377,22688,45376,1734,4388,2478727006,1000,1,1000,40,0,1
45378,22689,45379,2024,4388,232612069,1000,1,1000,40,0,4
45379,22689,45378,4388,2024,2267387931,2000,271,1000,40,0,3
