id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,3,25,6790445,49,9000,0,30
1,0,0,25,3,93209555,1000,10,1000,14
2,1,3,33,39,8110421,0,0,1,40
3,1,2,39,33,91889579,1000,10,1000,14
4,2,5,46,51,1008215,1000,1,1000,144
5,2,4,51,46,18991785,1000,1,1000,144
6,3,7,54,55,8794387,1000,1,1000,144
7,3,6,55,54,80346613,1000,1,1000,144
8,4,9,79,63,3881612,1000,1,1000,144
9,4,8,63,79,296118388,0,1,1000,144
10,5,11,54,46,3885080,1000,1,1000,144
11,5,10,46,54,263475920,1000,1,1000,144
12,6,13,147,2,25611237,1000,1,1000,144
13,6,12,2,147,374266763,0,1000,1000,9
14,7,15,46,165,8753232,1000,1,1000,144
15,7,14,165,46,91246768,1000,1,1000,144
16,8,17,194,40,248873483,1000,10,1000,34
17,8,16,40,194,4751126517,1000,1900,1000,144
18,9,19,156,77,89977154,1000,1,1000,144
19,9,18,77,156,1008295846,1000,1700,1000,30
20,10,21,54,196,12944952,1000,1,1000,144
21,10,20,196,54,250519048,1000,1,1000,144
22,11,23,54,145,23097150,1000,1,1000,144
23,11,22,145,54,226902850,1000,100,1000,144
24,12,25,62,194,99726306,850,84,0,142
25,12,24,194,62,900273694,1000,10,0,34
26,13,27,160,206,59518081,490,10,1000,14
27,13,26,206,160,640481919,1000,1,0,144
28,14,29,208,130,2364686,1000,1,1000,144
29,14,28,130,208,53635314,1,1,1000,40
30,15,31,87,119,100896661,1,19,1000,40
31,15,30,119,87,3773832339,490,1,1000,144
32,16,33,54,238,25211056,1000,1,1000,144
33,16,32,238,54,511758944,1000,1,1000,144
34,17,35,279,130,18251276,1000,1,1000,144
35,17,34,130,279,308677724,1,1,1000,40
36,18,37,323,282,458380,1000,1,1000,144
37,18,36,282,323,76659620,5,20,1000,40
38,19,39,326,332,1362888728,1,1,1000,18
39,19,38,332,326,15414326272,1,1,1000,18
40,20,41,115,273,8410439,1000,1,1000,144
41,20,40,273,115,113377561,2000,2,1000,4
42,21,43,95,334,208290996,1000,1,1000,144
43,21,42,334,95,16568924004,1,1,1000,144
44,22,45,335,86,118268233,1000,23,1000,40
45,22,44,86,335,1881731767,20,21,1000,40
46,23,47,24,337,39586646,800,1,1000,144
47,23,46,337,24,560413354,1000,1,1000,144
48,24,49,344,332,637149927,1,1,1000,18
49,24,48,332,344,8362850073,1,1,1000,18
50,25,51,353,340,31484345,1,1,1000,18
51,25,50,340,353,8968515655,1,1,1000,18
52,26,53,358,347,501368402,1,1,1000,18
53,26,52,347,358,8498631598,1,1,1000,18
54,27,55,353,361,66341625,1,1,1000,144
55,27,54,361,353,8933658375,1000,1,1000,144
56,28,57,349,343,302664786,1,1,1000,18
57,28,56,343,349,8697335214,1,1,1000,18
58,29,59,364,358,648475629,1000,1,1000,144
59,29,58,358,364,8351524371,1,1,1000,144
60,30,61,349,359,773433046,1,1,1000,18
61,30,60,359,349,8226566954,1,1,1000,18
62,31,63,171,359,1240848054,1000,10,1000,144
